1, 2
2, 1
2, 3
3, 2
3, 4
4, 3
4, 5
5, 4
5, 6
6, 5
6, 7
7, 6
7, 8
8, 7
8, 9
9, 8
9, 10
10, 9
10, 11
11, 10
11, 12
12, 11
12, 13
13, 12
13, 14
14, 13
14, 15
15, 14
15, 16
16, 15
16, 17
17, 16
17, 18
18, 17
18, 19
19, 18
19, 20
20, 19
20, 21
21, 20
21, 22
22, 21
22, 23
23, 22
23, 24
24, 23
24, 25
25, 24
25, 26
26, 25
26, 27
27, 26
27, 28
28, 27
1, 2
2, 1
2, 3
3, 2
3, 4
4, 3
4, 5
5, 4
5, 6
6, 5
6, 7
7, 6
7, 8
8, 7
8, 9
9, 8
9, 10
10, 9
10, 11
11, 10
11, 12
12, 11
12, 13
13, 12
13, 14
14, 13
14, 15
15, 14
15, 16
16, 15
16, 17
17, 16
17, 18
18, 17
18, 19
19, 18
19, 20
20, 19
20, 21
21, 20
21, 22
22, 21
22, 23
23, 22
23, 24
24, 23
24, 25
25, 24
25, 26
26, 25
1, 2
2, 1
2, 3
3, 2
3, 4
4, 3
4, 5
5, 4
5, 6
6, 5
6, 7
7, 6
7, 8
8, 7
8, 9
9, 8
9, 10
10, 9
10, 11
11, 10
11, 12
12, 11
12, 13
13, 12
13, 14
14, 13
14, 15
15, 14
15, 16
16, 15
16, 17
17, 16
1, 2
2, 1
2, 3
3, 2
3, 4
4, 3
4, 5
5, 4
5, 6
6, 5
6, 7
7, 6
7, 8
8, 7
1, 2
2, 1
2, 3
3, 2
3, 4
4, 3
4, 5
5, 4
5, 6
6, 5
1, 2
2, 1
2, 3
3, 2
3, 4
4, 3
4, 5
5, 4
5, 6
6, 5
6, 7
7, 6
7, 8
8, 7
8, 9
9, 8
9, 10
10, 9
10, 11
11, 10
11, 12
12, 11
12, 13
13, 12
13, 14
14, 13
14, 15
15, 14
15, 16
16, 15
16, 17
17, 16
17, 18
18, 17
18, 19
19, 18
19, 20
20, 19
1, 2
2, 1
2, 3
3, 2
3, 4
4, 3
4, 5
5, 4
5, 6
6, 5
6, 7
7, 6
7, 8
8, 7
8, 9
9, 8
9, 10
10, 9
10, 11
11, 10
11, 12
12, 11
1, 2
2, 1
2, 3
3, 2
3, 4
4, 3
4, 5
5, 4
5, 6
6, 5
6, 7
7, 6
7, 8
8, 7
8, 9
9, 8
9, 10
10, 9
10, 11
11, 10
11, 12
12, 11
12, 13
13, 12
13, 14
14, 13
14, 15
15, 14
15, 16
16, 15
16, 17
17, 16
17, 18
18, 17
18, 19
19, 18
19, 20
20, 19
20, 21
21, 20
21, 22
22, 21
22, 23
23, 22
23, 24
24, 23
24, 25
25, 24
25, 26
26, 25
26, 27
27, 26
1, 2
2, 1
2, 3
3, 2
3, 4
4, 3
4, 5
5, 4
5, 6
6, 5
6, 7
7, 6
7, 8
8, 7
1, 4
4, 1
2, 4
4, 2
3, 4
4, 3
4, 5
5, 4
4, 6
6, 4
4, 7
7, 4
4, 8
8, 4
1, 2
2, 1
2, 3
3, 2
2, 4
4, 2
2, 5
5, 2
2, 6
6, 2
2, 7
7, 2
2, 8
8, 2
2, 9
9, 2
2, 10
10, 2
2, 11
11, 2
2, 12
12, 2
2, 13
13, 2
2, 14
14, 2
2, 15
15, 2
2, 16
16, 2
2, 17
17, 2
2, 18
18, 2
2, 19
19, 2
2, 20
20, 2
2, 21
21, 2
2, 22
22, 2
2, 23
23, 2
2, 24
24, 2
2, 25
25, 2
2, 26
26, 2
2, 27
27, 2
2, 28
28, 2
2, 29
29, 2
2, 30
30, 2
2, 31
31, 2
2, 32
32, 2
2, 33
33, 2
2, 34
34, 2
1, 2
2, 1
1, 3
3, 1
1, 4
4, 1
1, 5
5, 1
1, 6
6, 1
1, 2
2, 1
1, 3
3, 1
1, 3
3, 1
2, 3
3, 2
3, 4
4, 3
3, 5
5, 3
1, 11
11, 1
2, 11
11, 2
3, 11
11, 3
4, 11
11, 4
5, 11
11, 5
6, 11
11, 6
7, 11
11, 7
8, 11
11, 8
9, 11
11, 9
10, 11
11, 10
11, 12
12, 11
11, 13
13, 11
11, 14
14, 11
11, 15
15, 11
11, 16
16, 11
11, 17
17, 11
11, 18
18, 11
11, 19
19, 11
11, 20
20, 11
11, 21
21, 11
11, 22
22, 11
11, 23
23, 11
11, 24
24, 11
11, 25
25, 11
11, 26
26, 11
11, 27
27, 11
11, 28
28, 11
11, 29
29, 11
11, 30
30, 11
11, 31
31, 11
1, 12
12, 1
2, 12
12, 2
3, 12
12, 3
4, 12
12, 4
5, 12
12, 5
6, 12
12, 6
7, 12
12, 7
8, 12
12, 8
9, 12
12, 9
10, 12
12, 10
11, 12
12, 11
12, 13
13, 12
12, 14
14, 12
12, 15
15, 12
12, 16
16, 12
12, 17
17, 12
12, 18
18, 12
12, 19
19, 12
12, 20
20, 12
12, 21
21, 12
12, 22
22, 12
1, 11
11, 1
2, 11
11, 2
3, 11
11, 3
4, 11
11, 4
5, 11
11, 5
6, 11
11, 6
7, 11
11, 7
8, 11
11, 8
9, 11
11, 9
10, 11
11, 10
11, 12
12, 11
11, 13
13, 11
11, 14
14, 11
11, 15
15, 11
11, 16
16, 11
11, 17
17, 11
11, 18
18, 11
11, 19
19, 11
11, 20
20, 11
11, 21
21, 11
11, 22
22, 11
1, 20
20, 1
2, 20
20, 2
3, 20
20, 3
4, 20
20, 4
5, 20
20, 5
6, 20
20, 6
7, 20
20, 7
8, 20
20, 8
9, 20
20, 9
10, 20
20, 10
11, 20
20, 11
12, 20
20, 12
13, 20
20, 13
14, 20
20, 14
15, 20
20, 15
16, 20
20, 16
17, 20
20, 17
18, 20
20, 18
19, 20
20, 19
20, 21
21, 20
20, 22
22, 20
20, 23
23, 20
20, 24
24, 20
20, 25
25, 20
20, 26
26, 20
20, 27
27, 20
20, 28
28, 20
20, 29
29, 20
20, 30
30, 20
20, 31
31, 20
20, 32
32, 20
1, 3
3, 1
2, 3
3, 2
3, 4
4, 3
3, 5
5, 3
3, 6
6, 3
3, 7
7, 3
3, 8
8, 3
3, 9
9, 3
3, 10
10, 3
3, 11
11, 3
3, 12
12, 3
3, 13
13, 3
3, 14
14, 3
3, 15
15, 3
3, 16
16, 3
3, 17
17, 3
